start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
10a70,10adc,4.0,118.0,3.0,27.0,10.0,0.0,2.0,0.0,2.0,0.0,12.0,86.0,14.0,4.0,2.0,0.0,482261.99999999994
10a70,12584,7.0,140.0,7.0,35.0,11.0,0.0,3.0,1.0,3.0,0.0,12.0,99.0,20.0,5.0,3.0,1.0,489029.99999999994
10a70,125b8,8.0,150.0,7.0,37.0,11.0,0.0,3.0,2.0,3.0,0.0,12.0,107.0,20.0,6.0,3.0,2.0,492592.99999999994
10a70,11830,9.0,164.0,9.0,40.0,12.0,0.0,4.0,2.0,3.0,0.0,12.0,112.0,28.0,6.0,4.0,2.0,496001.99999999994
10828,10900,9.0,179.0,0.0,46.0,10.0,0.0,6.0,3.0,0.0,0.0,20.0,125.0,21.0,4.0,6.0,3.0,703286.0
10828,10a70,8.0,81.0,0.0,26.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,57.0,8.0,0.0,5.0,3.0,229661.0
10828,10810,5.0,71.0,0.0,23.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,51.0,7.0,0.0,4.0,1.0,218740.0
10828,1083c,6.0,72.0,0.0,23.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,51.0,7.0,0.0,4.0,2.0,222154.0
10828,108f4,7.0,75.0,0.0,24.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,52.0,8.0,0.0,4.0,3.0,226097.0
10744,10900,8.0,174.0,0.0,44.0,10.0,0.0,5.0,3.0,0.0,0.0,20.0,121.0,21.0,4.0,5.0,3.0,699723.0
10744,10a88,9.0,179.0,1.0,47.0,10.0,0.0,5.0,3.0,1.0,0.0,20.0,126.0,21.0,4.0,5.0,3.0,703132.0
10744,10a70,7.0,76.0,0.0,24.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,53.0,8.0,0.0,4.0,3.0,226098.0
10744,10800,2.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,25700.0
10744,1074c,3.0,55.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,39.0,5.0,0.0,2.0,1.0,204009.0
10744,10810,4.0,66.0,0.0,21.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,47.0,7.0,0.0,3.0,1.0,215177.0
10744,1083c,5.0,67.0,0.0,21.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,47.0,7.0,0.0,3.0,2.0,218591.0
10744,108f4,6.0,70.0,0.0,22.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,48.0,8.0,0.0,3.0,3.0,222534.0
10730,10a70,9.0,86.0,0.0,26.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,59.0,10.0,0.0,5.0,4.0,233158.0
10730,10828,2.0,10.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,7060.0
10730,10810,6.0,76.0,0.0,23.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,53.0,9.0,0.0,4.0,2.0,222237.0
10730,1083c,7.0,77.0,0.0,23.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,53.0,9.0,0.0,4.0,3.0,225651.0
10730,108f4,8.0,80.0,0.0,24.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,54.0,10.0,0.0,4.0,4.0,229594.0
10708,10828,3.0,20.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,6.0,0.0,2.0,1.0,10237.0
10708,10730,2.0,15.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,1.0,6674.0
10708,10810,7.0,86.0,1.0,26.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,58.0,13.0,0.0,5.0,2.0,225414.0
10708,1083c,8.0,87.0,1.0,26.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,58.0,13.0,0.0,5.0,3.0,228828.0
10708,108f4,9.0,90.0,1.0,27.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,59.0,14.0,0.0,5.0,4.0,232771.0
12784,10b00,2.0,17.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,2.0,7079.0
12570,12784,2.0,11.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,7375.999999999999
12570,10b00,3.0,22.0,4.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,5.0,2.0,0.0,2.0,10873.0
10da0,11208,2.0,670.0,0.0,241.0,72.0,0.0,2.0,0.0,0.0,0.0,72.0,564.0,32.0,0.0,2.0,0.0,1810884.9999999998
10800,1074c,2.0,53.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,39.0,4.0,0.0,2.0,0.0,189452.0
10800,10810,3.0,64.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,47.0,6.0,0.0,3.0,0.0,200620.0
1074c,10810,2.0,60.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,44.0,6.0,0.0,2.0,0.0,189477.0
11870,127b4,7.0,827.0,4.0,310.0,88.0,0.0,4.0,1.0,2.0,0.0,88.0,696.0,38.0,0.0,4.0,1.0,1939153.0
11870,11eec,4.0,808.0,0.0,302.0,88.0,0.0,3.0,1.0,0.0,0.0,88.0,679.0,37.0,0.0,3.0,1.0,1929154.0
11870,124fc,5.0,814.0,2.0,305.0,88.0,0.0,3.0,1.0,1.0,0.0,88.0,685.0,37.0,0.0,3.0,1.0,1932568.0
11870,125e0,6.0,819.0,4.0,307.0,88.0,0.0,3.0,1.0,2.0,0.0,88.0,690.0,37.0,0.0,3.0,1.0,1935976.0
11870,11a84,3.0,420.0,0.0,162.0,44.0,0.0,2.0,1.0,0.0,0.0,52.0,351.0,14.0,0.0,2.0,1.0,1813698.0
11870,11ed8,2.0,138.0,0.0,61.0,16.0,0.0,1.0,1.0,0.0,0.0,16.0,115.0,5.0,0.0,1.0,1.0,56242.0
111f4,11208,3.0,675.0,0.0,243.0,72.0,0.0,3.0,0.0,0.0,0.0,72.0,568.0,32.0,0.0,3.0,0.0,1841705.9999999998
111f4,10da0,2.0,287.0,0.0,103.0,28.0,0.0,2.0,0.0,0.0,0.0,36.0,240.0,9.0,0.0,2.0,0.0,1697201.9999999998
10b4c,11208,6.0,824.0,2.0,305.0,89.0,0.0,5.0,1.0,0.0,0.0,88.0,685.0,45.0,0.0,5.0,1.0,1979142.9999999998
10b4c,12784,9.0,841.0,6.0,313.0,89.0,0.0,5.0,2.0,2.0,0.0,88.0,699.0,45.0,2.0,5.0,2.0,1989932.9999999998
10b4c,12570,8.0,835.0,6.0,310.0,89.0,0.0,5.0,1.0,2.0,0.0,88.0,696.0,45.0,0.0,5.0,1.0,1986350.9999999998
10b4c,11810,2.0,16.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,2.0,0.0,5226.0
10b4c,11818,7.0,830.0,4.0,308.0,89.0,0.0,5.0,1.0,1.0,0.0,88.0,691.0,45.0,0.0,5.0,1.0,1982556.9999999998
11810,11208,5.0,810.0,0.0,302.0,88.0,0.0,4.0,1.0,0.0,0.0,88.0,680.0,37.0,0.0,4.0,1.0,1975579.9999999998
11810,12784,8.0,827.0,4.0,310.0,88.0,0.0,4.0,2.0,2.0,0.0,88.0,694.0,37.0,2.0,4.0,2.0,1986369.9999999998
11810,10b00,9.0,838.0,6.0,312.0,88.0,0.0,4.0,3.0,2.0,0.0,88.0,699.0,42.0,2.0,4.0,3.0,1989866.9999999998
11810,12570,7.0,821.0,4.0,307.0,88.0,0.0,4.0,1.0,2.0,0.0,88.0,691.0,37.0,0.0,4.0,1.0,1982787.9999999998
11810,11818,6.0,816.0,2.0,305.0,88.0,0.0,4.0,1.0,1.0,0.0,88.0,686.0,37.0,0.0,4.0,1.0,1978993.9999999998
