start_basic_block,end_basic_block,num_basic_blocks,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,total_time
109d4,10afc,4.0,74.0,0.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,43.0,6.0,2.0,1.0,1.0,441843.0
10468,10444,2.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,57268.0
10468,10488,3.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,57268.0
10468,10980,4.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,57268.0
10cac,10cc4,2.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,363.0
101b0,101c8,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,390874.00000000006
11a6c,14718,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29531.999999999996
11a6c,13764,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29531.999999999996
11a6c,146c4,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29531.999999999996
1458c,14364,2.0,11.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,1.0,1.0,335.0
