basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
13818,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,102.0
138fc,21,10,8,0,0,1,0,0,0,0,10,10,0,1,0,1,103.0
13950,8,0,4,0,0,1,0,0,0,2,5,0,0,1,0,1,129.0
13968,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,78.5
13970,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,3,67.66666666666667
13980,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,59.0
13984,4,0,2,1,0,1,0,0,0,1,2,0,0,1,0,3,47.333333333333336
13994,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,102.0
1399c,13,10,2,0,0,0,0,1,0,0,13,0,0,0,0,1,102.0
13a8c,10,4,4,0,0,1,0,0,0,0,5,4,0,1,0,1,133.0
13ab4,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,140.0
13abc,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,103.0
13ac0,17,5,4,1,0,0,0,1,0,2,10,2,3,0,0,1,140.0
13b5c,9,4,2,1,0,1,0,0,0,0,4,4,0,1,0,1,132.0
13bac,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,1,104.0
13bbc,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,138.0
13bcc,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,140.0
13bd4,11,2,1,1,0,1,0,0,0,0,4,5,1,1,0,1,103.0
13c00,8,4,1,1,0,0,0,1,0,1,6,1,0,0,0,1,103.0
13c4c,3,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1,138.0
13c58,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,103.0
13c64,6,0,0,2,0,0,1,0,0,0,5,0,0,0,1,1,131.0
13c7c,16,11,4,0,0,1,0,0,0,0,4,11,0,1,0,1,140.0
13d24,4,0,0,2,0,1,0,0,0,0,2,0,1,1,0,1,131.0
13d34,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,135.0
13d38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,103.0
13d3c,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
13d44,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,138.0
13d4c,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,131.0
13d54,11,0,5,0,0,1,0,0,0,1,8,0,1,1,0,1,131.0
13db8,5,0,1,0,0,1,0,0,0,1,3,0,0,1,0,1,110.0
13dcc,4,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,104.0
13de8,6,0,3,0,0,1,0,0,0,2,3,0,0,1,0,1,133.0
13e14,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,1,136.0
13e20,3,0,2,0,0,1,0,0,0,0,2,0,0,1,0,1,131.0
13e2c,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,139.0
13e30,6,0,3,0,0,1,0,0,0,1,3,1,0,1,0,1,138.0
13e48,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,130.0
13e60,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,103.0
13eac,7,0,1,1,0,1,0,0,0,1,2,3,0,1,0,1,133.0
13f04,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,140.0
13f0c,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,141.0
13f18,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,161.0
13f2c,13,11,1,0,0,0,0,1,0,0,13,0,0,0,0,1,140.0
13f6c,4,0,1,0,0,1,0,0,0,0,2,0,1,1,0,1,103.0
140c4,8,0,2,2,0,0,1,0,0,1,3,3,0,0,1,1,131.0
140e4,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,132.0
1425c,3,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,132.0
